r-table__text,movie-rating__financing-source src,fixed-column,r-table__text href,r-table__text 3,r-table__text 4,r-table__text 5,r-table__text 6,r-table__text 7,r-table__text 8,r-table__text 9,r-table__text 10
443,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Ледяной Демон,https://ekinobilet.fond-kino.ru/films/detail/111028521,"ООО ""КЬЮ ЭС ФИЛМС""",28.10.2021,-,25 000 000,39.5%,63 245 749,8 008 762,30 319
444,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Семейное счастье,https://ekinobilet.fond-kino.ru/films/detail/111022725,"ООО ""НОВЫЕ ПРОЕКТЫ""",11.09.2025,-,70 000 000,69.4%,100 850 000,7 851 576,17 076
445,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Бег,https://ekinobilet.fond-kino.ru/films/detail/111011020,"ООО ""РЕВОЛЮЦИЯ ФИЛЬМ""",19.11.2020,-,25 000 000,38.5%,65 000 000,7 849 625,37 581
446,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Семь черных бумаг,https://ekinobilet.fond-kino.ru/films/detail/111009124,"ООО ""СТАРТ СТУДИО""",09.05.2024,-,35 000 000,69.0%,50 707 761,7 784 194,21 945
447,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Выше неба,https://ekinobilet.fond-kino.ru/films/detail/111009719/111005419,"ООО ""МАРС МЕДИА ЭНТЕРТЕЙНМЕНТ""",27.06.2019,-,30 000 000,64.5%,46 506 369,7 578 925,32 120
448,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Белый Список,https://ekinobilet.fond-kino.ru/films/detail/111030022,"ООО ""СТУДИЯ МЕТРАФИЛЬМС""",23.11.2023,-,30 000 000,35.9%,83 520 680,7 539 856,21 382
449,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Семь дней Петра Семёныча,https://ekinobilet.fond-kino.ru/films/detail/111010225,"ООО ""СТУДИЯ ""8 РЯДОВ""",21.08.2025,-,66 000 000,69.5%,94 999 568,7 473 507,21 254
450,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Танцы на высоте,https://ekinobilet.fond-kino.ru/films/detail/111011722,"ООО ""КИНОКОМПАНИЯ ""СПУТНИК""",30.06.2022,10 000 000,20 000 000,22.3%,134 441 000,7 422 690,31 047
451,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Мама дарагая!,https://ekinobilet.fond-kino.ru/films/detail/211027114,"ООО ""КИНОКОМПАНИЯ АТЛАНТИК""",16.04.2015,3 000 000,6 819 104,25.6%,38 400 000,7 382 008,33 991
452,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Здоровый человек,https://ekinobilet.fond-kino.ru/films/detail/111028722,"ООО ""1-2-3 ПРОДАКШН""",02.03.2023,-,25 000 000,42.7%,58 500 000,7 372 355,22 005
453,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Люби их всех,https://ekinobilet.fond-kino.ru/films/detail/111007119,"ООО ""КОМПАНИЯ ПАРК СИНЕМА""",03.10.2019,-,25 000 000,66.2%,37 744 280,7 228 825,25 862
454,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Конверт,https://ekinobilet.fond-kino.ru/films/detail/111007217,"ООО ""РБ ПРОДАКШН""",30.11.2017,5 000 000,30 000 000,47.1%,74 275 100,7 220 900,31 547
455,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Солдатик,https://ekinobilet.fond-kino.ru/films/detail/111004019,"ООО ""ДЖЕМСТУДИЯ""",01.04.2019,-,25 000 000,65.8%,38 000 000,7 147 743,96 200
456,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Сторож,https://ekinobilet.fond-kino.ru/films/detail/111009819,"ООО КИНОКОМПАНИЯ ""ИНВАДА ФИЛЬМ""",24.10.2019,-,30 000 000,54.5%,55 000 000,7 093 374,26 676
457,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,"Человек, который удивил всех",https://ekinobilet.fond-kino.ru/films/detail/111017818,"ООО ""ПАН-АТЛАНТИК СТУДИО""",25.10.2018,-,30 000 000,49.7%,60 373 576,7 031 276,25 363
458,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Спасибо деду за победу,https://ekinobilet.fond-kino.ru/films/detail/111007219,"ООО ""МЕДИА ЮНИВЕРСАЛ ИВЕНТ""",01.05.2019,-,25 000 000,64.3%,38 858 260,6 946 088,30 552
459,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Чувства Анны,https://ekinobilet.fond-kino.ru/films/detail/111016923,"ООО ""ТРУМЕН ПИКЧЕРЗ""",09.11.2023,-,75 000 000,62.5%,120 000 000,6 852 681,15 630
460,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Сказки Гофмана,https://ekinobilet.fond-kino.ru/films/detail/111007623,"ООО ""ПАН-АТЛАНТИК СТУДИО""",28.03.2024,-,47 300 000,66.2%,71 500 000,6 733 666,21 750
461,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Иван Денисович,https://ekinobilet.fond-kino.ru/films/detail/111024621,"ООО ""КИНОКОМПАНИЯ ""ВЕРА""",23.09.2021,-,60 000 000,37.5%,160 000 000,6 624 446,24 257
462,https://resources.fond-kino.ru/eais/images/big/financing_source_01.png,Чистое искусство,https://ekinobilet.fond-kino.ru/films/detail/111008715,"ООО ""КОМПАНИЯ ""РЕАЛ-ДАКОТА""",09.06.2016,15 000 000,60 000 000,67.1%,111 736 163,6 509 953,25 380
463,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Французский мастер,https://ekinobilet.fond-kino.ru/films/detail/111015922,"ООО ""58,5 ПРОДАКШН""",22.09.2022,-,30 000 000,66.5%,45 121 156,6 370 114,11 437
464,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Дедушка моей мечты,https://ekinobilet.fond-kino.ru/films/detail/111007714,"ООО ""ПЕНДУЛУМ""",16.07.2015,-,28 000 000,37.4%,74 910 000,6 351 196,32 791
465,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Наш папа - Дед Мороз!,https://ekinobilet.fond-kino.ru/films/detail/111036425,"ООО ""СИНЕМА РЕВОЛЮШЕН""",06.11.2025,-,60 000 000,100.0%,60 000 000,6 243 440,18 159
466,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Гардемарины 1787 г. - война (Гардемарины V),https://ekinobilet.fond-kino.ru/films/detail/111008523,"ООО КИНОСТУДИЯ ""САГИТТАРИУС-Д""",16.11.2023,-,135 000 000,78.0%,173 000 000,6 241 123,23 657
467,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Как Витька вез Леху Штыря в дом инвалидов,https://ekinobilet.fond-kino.ru/films/detail/111005017,"ООО ""ВГИК-ДЕБЮТ""",12.10.2017,-,25 000 000,64.9%,38 500 000,6 129 364,24 792
468,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Особенности национальной больницы (Волонтер),https://ekinobilet.fond-kino.ru/films/detail/111016624,"ООО ""ТПО ""РОК""",03.10.2024,-,80 000 000,70.2%,114 000 000,6 074 112,17 287
469,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Смотри на меня,https://ekinobilet.fond-kino.ru/films/detail/111020924,"ООО ""МВ-ФИЛЬМ""",05.09.2024,-,90 000 000,64.3%,140 000 000,6 047 695,20 325
470,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Сокровища партизанского леса,https://ekinobilet.fond-kino.ru/films/detail/111001123,"ООО ""КИНОСТУДИЯ ""АРК-ФИЛЬМ""",04.05.2023,-,40 000 000,66.1%,60 500 000,6 008 556,50 450
471,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Спасти Пушкина,https://ekinobilet.fond-kino.ru/films/detail/111002517,"ООО ""КАРО ПРОДАКШН""",27.04.2017,-,40 000 000,61.5%,65 000 000,5 773 975,30 364
472,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Я не такой! Я не такая!,https://ekinobilet.fond-kino.ru/films/detail/111008319,"ООО ""РФГ КОРП""",13.06.2019,-,30 000 000,63.6%,47 200 000,5 763 160,28 025
473,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,В баню! (Чистый четверг),https://ekinobilet.fond-kino.ru/films/detail/111044724,"ООО ""СТУДИЯ 78""",07.11.2024,-,50 000 000,57.5%,87 000 000,5 756 917,16 035
474,https://resources.fond-kino.ru/eais/images/big/financing_source_00.png,Отряд Светлячков (Отряд С),https://ekinobilet.fond-kino.ru/films/detail/111005524,"ООО ""СТУДИЯ ""МОСТ""",10.04.2025,-,50 000 000,55.6%,90 000 000,5 733 278,27 913
