название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
МУЛЬТ В КИНО. ВЫПУСК № 45,MVK,19.01.17,358,"3,6 млн",30 тыс,10 тыс,,,358,"2,1 млн",17 тыс,"5,8 тыс","1,4 млн",12 тыс,31,,,анимация,RUONLY
СПЯЩАЯ КРАСАВИЦА (Theatre HD),COOL,19.01.17,35,"3,7 млн","7,7 тыс",105 тыс,,,35,"1,3 млн","2,4 тыс",37 тыс,,,,,,опера/балет,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 44,MVK,05.01.17,335,"2,8 млн",23 тыс,"8,5 тыс",,,335,"1,5 млн",12 тыс,"4,5 тыс","1,2 млн",10 тыс,19.14,,,анимация,RUONLY
ТРИ БОГАТЫРЯ И МОРСКОЙ ЦАРЬ,NKI,29.12.16,1479,802 млн,"3,7 млн",543 тыс,"6,4 млн",0.04,1478,142 млн,621 тыс,96 тыс,220 млн,"1,0 млн",-54.6,,,анимация,RUONLY
ВИКИНГ,CP,29.12.16,1252,"1,5 млрд","5,8 млн","1,2 млн",53 млн,0.21,1252,249 млн,896 тыс,199 тыс,397 млн,"1,4 млн",-59.71,,,"драма, исторический",RUONLY
СНЕЖНАЯ КОРОЛЕВА 3. ОГОНЬ И ЛЕД,UPI,29.12.16,1201,300 млн,"1,4 млн",250 тыс,10 млн,0.19,1170,54 млн,253 тыс,46 тыс,82 млн,375 тыс,-49.98,,,анимация,RUONLY
ДЕД МОРОЗ. БИТВА МАГОВ,FOX,22.12.16,1055,157 млн,705 тыс,149 тыс,,,1055,26 млн,109 тыс,25 тыс,29 млн,129 тыс,-12.87,,,"приключения, семейный, фэнтези",RUONLY
ЕЛКИ 5,FOX/BZL,22.12.16,1373,778 млн,"3,2 млн",567 тыс,25 млн,0.13,1373,187 млн,736 тыс,136 тыс,159 млн,624 тыс,15.07,,,комедия,RUONLY
РЫБА-МЕЧТА,PVZGL,22.12.16,40,593 тыс,"2,4 тыс",15 тыс,,,40,320 тыс,"1,1 тыс","8,0 тыс",,,,,,комедия,"RUONLY, EST"
ОХОТНИКИ,HMNF,22.12.16,6,150 тыс,"1,4 тыс",25 тыс,,,5,87 тыс,800,17 тыс,,,,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 43,MVK,22.12.16,335,"3,7 млн",29 тыс,11 тыс,,,335,"1,3 млн","9,7 тыс","3,7 тыс",395 тыс,"3,1 тыс",68.5,,,анимация,RUONLY
ВРАЧ,AKM,15.12.16,13,557 тыс,"3,6 тыс",43 тыс,,,13,38 тыс,153,"2,9 тыс",,,,,,драма,RUONLY
ЛЮБОВЬ НЕ ЗА ГОРАМИ,KNLG,15.12.16,49,"2,5 млн",11 тыс,51 тыс,,,45,"1,1 млн","4,9 тыс",25 тыс,502 тыс,"2,4 тыс",56.01,,,комедия,RUONLY
SИSTEMA. ШОУ БРАТЬЕВ ЗАПАШНЫХ,LUX,15.12.16,105,397 тыс,"1,7 тыс","3,8 тыс",,,105,201 тыс,755,"1,9 тыс",36 тыс,176,81.95,,,семейный,RUONLY
ГОРОДСКИЕ ПТИЧКИ,RFLF,15.12.16,23,280 тыс,900,12 тыс,,,23,280 тыс,900,12 тыс,,,,,,"комедия, мелодрама",RUONLY
УРА! КАНИКУЛЫ!,PRD,08.12.16,193,"2,2 млн",12 тыс,11 тыс,,,193,"1,3 млн","6,4 тыс","7,0 тыс",388 тыс,"2,3 тыс",71.24,,,"комедия, семейный",RUONLY
КАВКАЗСКОЕ ТРИО,LUX,08.12.16,8,42 тыс,179,"5,3 тыс",,,8,10 тыс,27,"1,3 тыс",,,,,,драма,"RUONLY, FR, GEO"
