название,дистрибьютор,дата_старта,тотал_экраны,тотал_сбор,тотал_зритель,тотал_наработка,сбор_чт,множ_чт,премьерный_уикенд_экраны,премьерный_уикенд_сбор,премьерный_уикенд_зритель,премьерный_уикенд_наработка,второй_уикенд_сбор,второй_уикенд_зритель,второй_уикенд_падение,превью_сбор,превью_дни,жанр,страна
КЛЕВЫЙ УLOVE,CAO,18.09.25,1483,27 млн,71 тыс,18 тыс,,,1483,14 млн,33 тыс,"9,4 тыс","5,4 млн",15 тыс,61,,,комедия,RUONLY
АНГЕЛЫ НЕ ЖУЖЖАТ,K24,18.09.25,24,"1,2 млн","3,1 тыс",50 тыс,,,24,286 тыс,646,12 тыс,115 тыс,315,59.77,,,драма,RUONLY
БЕГИ,NMG,11.09.25,1821,30 млн,78 тыс,17 тыс,,,1821,17 млн,39 тыс,"9,2 тыс","5,4 млн",15 тыс,67.79,,,комедия,RUONLY
ФА-СОЛЬ,KNT,11.09.25,125,670 тыс,"2,8 тыс","5,4 тыс",,,125,421 тыс,"1,6 тыс","3,4 тыс",,,,,,"комедия, приключения",RUONLY
СЕМЕЙНОЕ СЧАСТЬЕ,NKI,11.09.25,356,"8,2 млн",18 тыс,23 тыс,,,356,"3,1 млн","6,7 тыс","8,8 тыс","1,1 млн","2,6 тыс",64.28,"1,2 млн",ПН - СР,драма,RUONLY
ТРИ СВАДЬБЫ И ОДИН ПОБЕГ,PNR,11.09.25,210,"5,2 млн",13 тыс,25 тыс,,,210,"2,6 млн","5,9 тыс",13 тыс,878 тыс,"2,4 тыс",66.58,,,"комедия, семейный",RUONLY
ТОЛЕРАНТНОСТЬ,CS,11.09.25,41,111 тыс,312,"2,7 тыс",,,41,76 тыс,192,"1,9 тыс",,,,,,триллер,RUONLY
ПОДАРИ МНЕ ЦВЕТОК / Сибэкки биэрээри,SMKT,11.09.25,29,"8,7 млн",20 тыс,300 тыс,,,26,"2,6 млн","5,2 тыс",98 тыс,"4,7 млн",11 тыс,-85.41,,,драма,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 186. БОЛЬШАЯ МИ-МИ-МИССИЯ,VLG,04.09.25,434,"3,9 млн",21 тыс,"8,9 тыс",,,434,883 тыс,"4,7 тыс","2,0 тыс",904 тыс,"7,1 тыс",-2.35,,,анимация,RUONLY
ВНИЗ,CP,04.09.25,1364,120 млн,274 тыс,88 тыс,,,1364,47 млн,102 тыс,35 тыс,27 млн,58 тыс,44.01,,,"драма, триллер",RUONLY
КОЛБАСА,AK,04.09.25,1675,32 млн,85 тыс,19 тыс,,,1675,15 млн,35 тыс,"9,0 тыс","7,4 млн",20 тыс,50.73,,,комедия,RUONLY
СКАЗКИ ТЕМНОГО ЛЕСА. ВОРОЖЕЯ,RSP,04.09.25,969,18 млн,66 тыс,18 тыс,,,969,"6,1 млн",19 тыс,"6,3 тыс","4,6 млн",16 тыс,25.31,,,"приключения, фэнтези, сказка",RUONLY
ТУГАН БАТЫР,SMKT,04.09.25,84,"1,6 млн","7,1 тыс",19 тыс,,,84,332 тыс,"1,1 тыс","4,0 тыс",326 тыс,"1,3 тыс",1.83,,,"приключения, анимация",RUONLY
СЕМЕЙНЫЙ ПРИЗРАК,NKI,28.08.25,1996,111 млн,309 тыс,56 тыс,,,1996,30 млн,79 тыс,15 тыс,20 млн,54 тыс,32.78,,,семейный,RUONLY
ТИМУР И ЕГО КОМАНДА,KNT,28.08.25,951,27 млн,124 тыс,28 тыс,,,951,"3,1 млн",10 тыс,"3,3 тыс","3,0 млн",12 тыс,6.19,,,приключения,RUONLY
ДОКТОР ДИНОЗАВРОВ,CP,28.08.25,1572,161 млн,467 тыс,103 тыс,,,1572,48 млн,132 тыс,31 тыс,32 млн,87 тыс,33.91,,,анимация,RUONLY
ИДЕНТИФИКАЦИЯ,NMG,28.08.25,995,"9,6 млн",25 тыс,"9,7 тыс",,,995,"5,6 млн",13 тыс,"5,6 тыс","1,3 млн","3,7 тыс",76.61,,,"фантастика, драма",RUONLY
ГЕЛЯ,NMG,21.08.25,1560,23 млн,56 тыс,15 тыс,,,1560,12 млн,27 тыс,"7,7 тыс","3,5 млн","8,8 тыс",70.91,,,"комедия, криминал",RUONLY
РИТМЫ МЕЧТЫ,CAO,21.08.25,1207,21 млн,66 тыс,17 тыс,,,1207,"8,6 млн",24 тыс,"7,1 тыс","3,7 млн",12 тыс,56.33,,,"комедия, мелодрама",RUONLY
ДЕТИ-ШПИОНЫ,AK,21.08.25,2043,72 млн,204 тыс,35 тыс,,,2043,27 млн,72 тыс,13 тыс,11 млн,33 тыс,56.95,,,"комедия, приключения, семейный",RUONLY
СЕМЬ ДНЕЙ ПЕТРА СЕМЕНЫЧА,NKI,21.08.25,225,"7,5 млн",92 тыс,33 тыс,,,225,"3,4 млн","7,4 тыс",15 тыс,"1,4 млн","5,0 тыс",57,,,драма,RUONLY
УКРАДИ МОЮ МЕЧТУ,AK,14.08.25,1199,18 млн,50 тыс,15 тыс,,,1199,"8,8 млн",21 тыс,"7,4 тыс",,,,,,комедия,RUONLY
НАДО СНИМАТЬ ФИЛЬМЫ О ЛЮБВИ,K24,14.08.25,81,"3,8 млн","8,4 тыс",47 тыс,,,81,"1,0 млн","2,1 тыс",12 тыс,290 тыс,698,71.06,,,драма,"RUONLY, IN"
МУЛЬТ В КИНО. ВЫПУСК № 185. ДРУЗЬЯ И ЧУДЕСА,VLG,07.08.25,463,"3,6 млн",19 тыс,"7,7 тыс",,,463,915 тыс,"4,8 тыс","2,0 тыс",851 тыс,"4,4 тыс",7.04,,,анимация,RUONLY
ИВАН СЕМЕНОВ. ПЕРВЫЙ ПОЦЕЛУЙ,CAO,07.08.25,1742,29 млн,94 тыс,17 тыс,,,1742,12 млн,34 тыс,"6,7 тыс","5,6 млн",19 тыс,52.38,,,комедия,RUONLY
ДЕВКА-БАБА: КУКЛА-ЧАРОДЕЙКА,MCM,07.08.25,431,"2,1 млн","9,3 тыс","5,0 тыс",,,431,926 тыс,"3,6 тыс","2,1 тыс",335 тыс,"1,5 тыс",63.82,,,"фэнтези, сказка",RUONLY
АТЕЛЬ-МАТЕЛЬ,CP,07.08.25,792,76 млн,196 тыс,96 тыс,,,792,19 млн,42 тыс,23 тыс,14 млн,35 тыс,23.25,,,комедия,RUONLY
МОЙ ПАПА – МЕДВЕДЬ,AK,31.07.25,2056,130 млн,400 тыс,63 тыс,,,2053,35 млн,101 тыс,17 тыс,23 млн,71 тыс,33.71,,,"приключения, семейный",RUONLY
ГЕРОИ АНЕКДОТОВ,AK,24.07.25,1969,26 млн,74 тыс,13 тыс,,,1969,13 млн,33 тыс,"6,5 тыс","4,3 млн",13 тыс,66.55,,,комедия,RUONLY
ПРОГУЛКА,RWV,24.07.25,112,"4,1 млн","8,4 тыс",37 тыс,,,112,"1,6 млн","3,0 тыс",14 тыс,632 тыс,"3,0 тыс",60.15,765 тыс,ПН - СР,"драма, мелодрама",RUONLY
ЛЕША ИЗ ЛАВРЫ. ПОГРЕБАЮЩИЙ СТРАННЫХ,CIPA,24.07.25,170,11 млн,25 тыс,66 тыс,,,170,"7,8 млн",16 тыс,46 тыс,705 тыс,"1,8 тыс",91,,,драма,RUONLY
НЕЙРОБАТЯ,NMG,17.07.25,1900,18 млн,53 тыс,"9,6 тыс",,,1900,"8,9 млн",23 тыс,"4,7 тыс","2,7 млн","8,6 тыс",70.13,,,"фантастика, комедия",RUONLY
ПЛАГИАТОР,AK,10.07.25,2181,169 млн,408 тыс,78 тыс,,,2181,42 млн,306 тыс,19 тыс,33 млн,74 тыс,22.33,,,комедия,RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 184. НЕ РАЗЛЕЙ ВОДА,VLG,10.07.25,442,"3,8 млн",21 тыс,"8,5 тыс",,,442,751 тыс,"3,6 тыс","1,7 тыс",804 тыс,"4,3 тыс",-7.1,,,анимация,RUONLY
НЕ ОДНА ДОМА 2,AK,03.07.25,2077,341 млн,"1,0 млн",164 тыс,,,2077,68 млн,195 тыс,33 тыс,38 млн,108 тыс,44.19,"1,3 млн",ВТ - СР,"комедия, семейный",RUONLY
ПИТЕР FM. ПЕРЕВЫПУСК,K24,03.07.25,172,29 млн,62 тыс,166 тыс,,,172,"9,0 млн",17 тыс,52 тыс,"3,4 млн","6,5 тыс",62.65,,,"комедия, мелодрама",RUONLY
МАЛЕНЬКИЙ ШЕФ,NKI,26.06.25,1977,18 млн,68 тыс,"9,3 тыс",,,1977,"8,8 млн",30 тыс,"4,4 тыс","2,6 млн",10 тыс,70.3,,,"комедия, семейный",RUONLY
КАЧЕЛИ,NMG,26.06.25,664,"5,0 млн",13 тыс,"7,5 тыс",,,664,"2,5 млн","5,5 тыс","3,8 тыс",,,,,,комедия,RUONLY
ЧИНГИС-ХАН,RSP,26.06.25,86,895 тыс,"2,5 тыс",10 тыс,,,86,470 тыс,"1,1 тыс","5,5 тыс",111 тыс,291,76.46,,,исторический,RUONLY
ЕВГЕНИЙ ТЕЛЕГИН,KAP,19.06.25,64,"1,0 млн","2,3 тыс",16 тыс,,,64,475 тыс,968,"7,4 тыс",,,,,,драма,RUONLY
БЕЛЫЙ ПАРОХОД,K24,19.06.25,7,327 тыс,631,47 тыс,,,7,59 тыс,148,"8,5 тыс",,,,209 тыс,ЧТ - ВС,драма,"RUONLY, FR, UK"
ТРАВИАТА / La Traviata,KAP,19.06.25,74,"1,1 млн","2,0 тыс",15 тыс,,,74,334 тыс,602,"4,5 тыс",,,,,,опера/балет,RUONLY
ПРО ЛЮДЕЙ И ПРО ВОЙНУ,RFLF,19.06.25,377,815 тыс,"8,1 тыс","2,2 тыс",,,257,370 тыс,"1,5 тыс","1,4 тыс",,,,,,"драма, исторический, военный",RUONLY
АРТЕК. СКВОЗЬ СТОЛЕТИЯ,NKI,12.06.25,2268,150 млн,472 тыс,66 тыс,,,2264,55 млн,143 тыс,24 тыс,27 млн,84 тыс,51.67,,,семейный,RUONLY
ПРИТВОРИСЬ МОИМ МУЖЕМ,AK,12.06.25,924,32 млн,78 тыс,35 тыс,,,924,17 млн,36 тыс,19 тыс,"4,8 млн",12 тыс,72.61,,,"комедия, мелодрама",RUONLY
ТРИ БОГАТЫРЯ. НИ ДНЯ БЕЗ ПОДВИГА 2,VLG,12.06.25,2305,235 млн,756 тыс,102 тыс,,,2212,72 млн,199 тыс,32 тыс,39 млн,123 тыс,45.27,,,анимация,RUONLY
НА ДЕРЕВНЮ ДЕДУШКЕ,CAO,12.06.25,1874,854 млн,"2,3 млн",456 тыс,,,1874,143 млн,354 тыс,76 тыс,102 млн,275 тыс,28.21,,,"комедия, семейный",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 183. ЛЕТНИЕ ЗАТЕИ,VLG,12.06.25,418,"3,4 млн",19 тыс,"8,2 тыс",,,418,686 тыс,"3,6 тыс","1,6 тыс",584 тыс,"3,2 тыс",14.78,,,анимация,RUONLY
БОЛЬШЕ ЧЕМ ФУТБОЛ,CP,12.06.25,1337,78 млн,213 тыс,58 тыс,,,1337,37 млн,87 тыс,28 тыс,15 млн,42 тыс,59.54,,,"драма, спорт",RUONLY
РОВЕСНИК,MCM,12.06.25,42,"2,0 млн","4,9 тыс",47 тыс,,,42,597 тыс,"1,2 тыс",14 тыс,213 тыс,501,64.27,198 тыс,ЧТ - ВС,драма,RUONLY
ПОЛЕ ЧУДЕС,PNR,05.06.25,663,"7,8 млн",33 тыс,12 тыс,,,663,"3,8 млн",12 тыс,"5,7 тыс",436 тыс,"1,5 тыс",88.47,226 тыс,ЧТ - ВС,комедия,RUONLY
САМОЗВАНЦЫ,CP,05.06.25,415,"2,8 млн","7,9 тыс","6,9 тыс",,,415,"1,3 млн","2,8 тыс","3,2 тыс",529 тыс,"1,7 тыс",60.19,,,драма,RUONLY
ДВАДЦАТЬ ЛЕТ СО СМЕШАРИКАМИ,SMKT,05.06.25,2,421 тыс,638,210 тыс,,,2,173 тыс,284,87 тыс,248 тыс,354,-43.02,,,документальный,RUONLY
СНЕЖНЫЙ ЧЕЛОВЕК,CAO,29.05.25,1789,73 млн,274 тыс,41 тыс,,,1789,29 млн,86 тыс,16 тыс,16 млн,57 тыс,43.9,,,"комедия, семейный",RUONLY
ГЕРОЙЧИКИ. НЕЗВАНЫЙ ГОСТЬ,NMG,29.05.25,1843,64 млн,220 тыс,35 тыс,,,1843,25 млн,81 тыс,14 тыс,15 млн,50 тыс,41.17,,,анимация,RUONLY
КУКУШКА,KNLG,29.05.25,38,"1,5 млн","3,5 тыс",39 тыс,,,38,155 тыс,355,"4,1 тыс",,,,,,ужасы,RUONLY
КУЛЬТУРНЫЙ КОД: ФРАГМЕНТЫ,K24,29.05.25,12,511 тыс,750,43 тыс,,,12,491 тыс,701,41 тыс,,,,,,"документальный, приключения",RUONLY
СОЛОВЕЙ ПРОТИВ МУРОМЦА,AK,22.05.25,2393,164 млн,528 тыс,69 тыс,,,2393,57 млн,170 тыс,24 тыс,35 млн,102 тыс,38.71,,,"фантастика, драма",RUONLY
ГАНЗЕЛЬ И ГРЕТЕЛЬ: МИССИЯ «СПЯЩАЯ КРАСАВИЦА»,VLG,22.05.25,2202,71 млн,269 тыс,32 тыс,,,2198,26 млн,83 тыс,12 тыс,13 млн,44 тыс,51.21,176 тыс,ПН - СР,анимация,RUONLY
ПАРА НА ПАРУ,CAO,22.05.25,1031,18 млн,46 тыс,18 тыс,,,1031,"9,2 млн",20 тыс,"8,9 тыс","3,4 млн","8,3 тыс",62.67,,,комедия,RUONLY
КТО ВЫЗВАЛ АНИМАТОРА?,SBF,22.05.25,26,129 тыс,458,"5,0 тыс",,,26,46 тыс,154,"1,8 тыс",,,,,,"комедия, мелодрама",RUONLY
ЧЕЛОВЕК С КИНОАППАРАТОМ. ПЕРЕВЫПУСК,K24,22.05.25,23,"2,6 млн","4,7 тыс",113 тыс,,,23,411 тыс,877,18 тыс,167 тыс,295,59.37,,,документальный,RUONLY
ПРАВИЛА ФИЛИППА,MVK,22.05.25,234,901 тыс,"3,5 тыс","3,9 тыс",,,234,493 тыс,"1,7 тыс","2,1 тыс",138 тыс,773,71.95,,,"комедия, драма",RUONLY
ПЛЕМЯ ПАДШИХ,SMKT,22.05.25,60,"4,0 млн","8,5 тыс",66 тыс,,,60,"2,1 млн","4,4 тыс",35 тыс,601 тыс,"1,3 тыс",71.29,,,"фантастика, приключения, драма",RUONLY
ТУДА,NMG,15.05.25,1842,66 млн,156 тыс,36 тыс,,,1842,28 млн,63 тыс,15 тыс,13 млн,29 тыс,54.88,,,комедия,RUONLY
ОЛЕНЬ,CP,15.05.25,988,29 млн,75 тыс,29 тыс,,,988,15 млн,35 тыс,15 тыс,"5,1 млн",13 тыс,65.85,,,комедия,RUONLY
ЖВАНЕЦКИЙ,CAO,15.05.25,428,"6,8 млн",14 тыс,16 тыс,,,428,"2,9 млн","5,7 тыс","6,8 тыс",962 тыс,"2,1 тыс",66.91,,,"комедия, концерт",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 182. СОЛНЕЧНЫЕ СКАЗКИ,VLG,15.05.25,513,"3,4 млн",19 тыс,"6,6 тыс",,,513,948 тыс,"5,2 тыс","1,8 тыс",805 тыс,"4,2 тыс",15.1,,,анимация,RUONLY
СУДЬБА БАРАБАНЩИКА,SBF,15.05.25,30,286 тыс,"1,9 тыс","9,5 тыс",,,30,33 тыс,118,"1,1 тыс",,,,,,"приключения, драма",RUONLY
ФИНАЛ,AK,08.05.25,1863,84 млн,209 тыс,45 тыс,,,1863,51 млн,116 тыс,27 тыс,13 млн,33 тыс,73.92,179 тыс,ПН - СР,спорт,RUONLY
ПЯТЬ СЫНОВЕЙ МАРИИ,KAP,08.05.25,543,"2,4 млн","8,0 тыс","4,4 тыс",,,543,"1,4 млн","4,2 тыс","2,6 тыс",353 тыс,"1,3 тыс",74.58,,,военный,RUONLY
МАЛЬЧИК-ДЕЛЬФИН 2,CAO,08.05.25,1658,40 млн,124 тыс,24 тыс,,,1658,23 млн,62 тыс,14 тыс,"7,5 млн",23 тыс,66.91,,,анимация,RUONLY
БЕС ПОПУТАЛ,VLG,08.05.25,939,27 млн,60 тыс,28 тыс,,,939,17 млн,33 тыс,18 тыс,"2,8 млн","6,4 тыс",83.25,,,комедия,RUONLY
ГРУППА КРОВИ,CP,08.05.25,1373,138 млн,380 тыс,100 тыс,,,1373,74 млн,179 тыс,54 тыс,22 млн,61 тыс,69.63,,,"драма, военный",RUONLY
ОДНИМ ДЫХАНИЕМ С ПОБЕДОЙ,KNT,08.05.25,31,206 тыс,"1,4 тыс","6,6 тыс",,,31,51 тыс,238,"1,6 тыс",,,,,,"документальный, исторический, военный",RUONLY
СОКРОВИЩА ГНОМОВ,NKI,01.05.25,1681,173 млн,479 тыс,103 тыс,,,1649,83 млн,212 тыс,50 тыс,40 млн,105 тыс,51.35,,,"комедия, приключения, семейный",RUONLY
МАРАКУДА,VLG,01.05.25,2110,85 млн,259 тыс,40 тыс,,,2110,47 млн,130 тыс,22 тыс,18 млн,53 тыс,60.65,256 тыс,ПН - СР,анимация,RUONLY
ЛЕГЕНДЫ НАШИХ ПРЕДКОВ,AK,01.05.25,1220,27 млн,75 тыс,22 тыс,,,1220,17 млн,44 тыс,14 тыс,"5,2 млн",15 тыс,69.98,215 тыс,ПН - СР,"приключения, фэнтези",RUONLY
В СПИСКАХ НЕ ЗНАЧИЛСЯ,CP,01.05.25,2106,655 млн,"1,6 млн",311 тыс,,,2106,239 млн,537 тыс,113 тыс,187 млн,415 тыс,21.8,,,военный,RUONLY
МУЖУ ПРИВЕТ,CIPA,01.05.25,32,"3,1 млн","6,5 тыс",96 тыс,,,32,"1,6 млн","3,1 тыс",51 тыс,323 тыс,626,80.2,,,мелодрама,RUONLY
АЛДАН,NGFD,01.05.25,234,13 млн,33 тыс,56 тыс,,,234,"7,5 млн",18 тыс,32 тыс,767 тыс,"1,9 тыс",89.8,,,"военный, мистика",RUONLY
ДЕНИСКИНЫ РАССКАЗЫ,AK,24.04.25,2246,193 млн,576 тыс,86 тыс,,,2246,59 млн,161 тыс,26 тыс,61 млн,167 тыс,-4.48,,,приключения,RUONLY
ПОЧТАРЬ,NMG,24.04.25,1292,15 млн,42 тыс,11 тыс,,,1292,"7,2 млн",17 тыс,"5,5 тыс","2,7 млн","8,3 тыс",61.85,,,драма,RUONLY
НА ЭТОЙ ЗЕМЛЕ,K24,24.04.25,17,956 тыс,"1,9 тыс",56 тыс,,,17,132 тыс,309,"7,7 тыс",,,,,,драма,RUONLY
АЙ ДА ПУШКИН!,LC,24.04.25,137,"1,0 млн","6,5 тыс","7,4 тыс",,,137,146 тыс,616,"1,1 тыс",441 тыс,"3,2 тыс",-202.02,,,анимация,RUONLY
НАСЛЕДНИКИ ПОБЕДЫ,SMKT,24.04.25,30,"2,5 млн",13 тыс,84 тыс,,,30,502 тыс,"2,6 тыс",17 тыс,,,,,,военный,RUONLY
КРАКЕН,CP,17.04.25,2045,"1,1 млрд","2,6 млн",558 тыс,,,2045,171 млн,389 тыс,83 тыс,179 млн,398 тыс,-4.89,778 тыс,ПН - СР,"экшн, фантастика, триллер",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 181. НАМ 10 ЛЕТ,MVK,17.04.25,523,"5,8 млн",31 тыс,11 тыс,,,523,"1,2 млн","6,5 тыс","2,3 тыс",819 тыс,"4,3 тыс",32.76,,,анимация,RUONLY
ДИОДОРОВА. ПРОТИВ ТЕЧЕНИЯ,SMKT,17.04.25,95,49 млн,114 тыс,513 тыс,,,95,17 млн,40 тыс,183 тыс,"9,2 млн",21 тыс,47.11,,,спорт,RUONLY
"ВСЕ, ЧТО ТЕБЯ КАСАЕТСЯ",NKI,10.04.25,2183,64 млн,164 тыс,29 тыс,,,2183,34 млн,80 тыс,15 тыс,"10,0 млн",26 тыс,70.27,267 тыс,ПН - СР,"комедия, драма",RUONLY
ГДЕ НАШИ ДЕНЬГИ?,NMG,10.04.25,877,14 млн,32 тыс,16 тыс,,,877,"8,7 млн",18 тыс,"9,9 тыс","1,2 млн","3,2 тыс",85.83,,,"комедия, криминал",RUONLY
ОТРЯД СВЕТЛЯЧКОВ,KNT,10.04.25,380,"5,6 млн",27 тыс,15 тыс,,,380,"1,7 млн","8,0 тыс","4,6 тыс",793 тыс,"3,5 тыс",54.32,,,"фантастика, приключения, военный",RUONLY
ИЮНЬСКАЯ ПОЛЫНЬ,CKINO,10.04.25,363,"4,9 млн",24 тыс,14 тыс,,,363,978 тыс,"4,1 тыс","2,7 тыс",459 тыс,"2,5 тыс",53,,,"документальный, военный",RUONLY
БАТЯ 2. ДЕД,CP,03.04.25,2372,"1,6 млрд","3,8 млн",680 тыс,,,2372,553 млн,"1,3 млн",233 тыс,354 млн,808 тыс,35.95,,,комедия,RUONLY
ПОХОДУ ЛЮБОВЬ,AK,27.03.25,676,"8,9 млн",23 тыс,13 тыс,,,676,"5,2 млн",12 тыс,"7,7 тыс","1,3 млн","3,9 тыс",74.93,112 тыс,ПН - СР,"комедия, мелодрама",RUONLY
ЖИГА. НА ПОЛНОЙ СКОРОСТИ,CAO,27.03.25,1346,45 млн,122 тыс,34 тыс,,,1346,23 млн,57 тыс,17 тыс,"9,5 млн",26 тыс,58.43,,,экшн,RUONLY
КУКОЛЬНЫЙ ДОМ,KNT,27.03.25,5,251 тыс,"1,2 тыс",50 тыс,,,5,103 тыс,647,21 тыс,,,,,,драма,RUONLY
НАСТУПИТ ЛЕТО,SMKT,27.03.25,44,"2,1 млн","4,6 тыс",49 тыс,,,44,505 тыс,"1,1 тыс",11 тыс,,,,,,"драма, триллер","RUONLY, DE"
ЧАСЫ ДЛЯ ВЕРЫ,SMKT,27.03.25,294,"4,4 млн",21 тыс,15 тыс,,,294,"1,0 млн","4,0 тыс","3,5 тыс",288 тыс,"1,5 тыс",71.84,,,мелодрама,RUONLY
СПИД СТАР,SMKT,27.03.25,69,30 млн,68 тыс,441 тыс,,,69,"10,0 млн",21 тыс,144 тыс,"5,9 млн",13 тыс,41.29,,,драма,RUONLY
ПАЛЬМА 2,CP,20.03.25,2126,517 млн,"1,5 млн",243 тыс,,,2126,148 млн,387 тыс,70 тыс,135 млн,372 тыс,8.91,702 тыс,ПН - СР,"приключения, семейный",RUONLY
ЖДУН,NKI,20.03.25,2339,379 млн,"1,1 млн",162 тыс,,,2284,95 млн,254 тыс,42 тыс,93 млн,267 тыс,1.75,843 тыс,ПН - СР,"комедия, семейный",RUONLY
МУЛЬТ В КИНО. ВЫПУСК № 180,MVK,20.03.25,381,"4,8 млн",27 тыс,13 тыс,,,371,"1,3 млн","7,0 тыс","3,6 тыс","1,2 млн","6,5 тыс",10.53,,,анимация,RUONLY
ПАПА УМЕР В СУББОТУ,PNR,20.03.25,44,"2,0 млн","5,0 тыс",45 тыс,,,44,637 тыс,"1,4 тыс",14 тыс,196 тыс,489,69.19,428 тыс,ПН - СР,драма,RUONLY
ЖАР-ПТИЦА,K24,20.03.25,47,"3,5 млн","7,7 тыс",75 тыс,,,47,"1,2 млн","2,7 тыс",26 тыс,204 тыс,483,83.51,880 тыс,ЧТ - ВС,драма,RUONLY
МУЖЧИНА И ЖЕНЩИНА,CAO,13.03.25,417,"4,1 млн",11 тыс,"9,7 тыс",,,417,"2,4 млн","5,8 тыс","5,7 тыс",490 тыс,"1,5 тыс",79.36,,,мелодрама,RUONLY
ПОСЛЕДНИЙ ДЕНЬ РОЖДЕНИЯ,KNLG,13.03.25,84,"2,3 млн","5,5 тыс",28 тыс,,,84,"1,4 млн","3,0 тыс",16 тыс,315 тыс,711,77.06,,,триллер,RUONLY
ЦАРЕВНА-ЛЯГУШКА,NKI,06.03.25,2085,610 млн,"1,7 млн",293 тыс,,,2083,209 млн,533 тыс,100 тыс,123 млн,322 тыс,40.95,"1,2 млн",ПН - СР,"комедия, приключения, семейный",RUONLY
"ДОРОГАЯ, Я БОЛЬШЕ НЕ ПЕРЕЗВОНЮ",NMG,06.03.25,928,46 млн,111 тыс,49 тыс,,,928,27 млн,59 тыс,29 тыс,"9,2 млн",23 тыс,65.36,,,"фантастика, комедия",RUONLY
РОДНИНА,CP,06.03.25,1859,205 млн,532 тыс,110 тыс,,,1859,78 млн,182 тыс,42 тыс,52 млн,132 тыс,32.85,,,"биография, драма, спорт",RUONLY
ОДИН ХОРОШИЙ ДЕНЬ,AK,06.03.25,1494,54 млн,133 тыс,36 тыс,,,1494,34 млн,79 тыс,23 тыс,"9,4 млн",25 тыс,72.37,,,комедия,RUONLY
МОЙ ПАРЕНЬ-АЙДОЛ!,SMKT,06.03.25,50,14 млн,31 тыс,272 тыс,,,50,"4,7 млн","9,9 тыс",93 тыс,"2,3 млн","5,1 тыс",51.48,,,комедия,RUONLY
СЕВЕРНЫЙ ПОЛЮС,CP,27.02.25,1783,153 млн,399 тыс,86 тыс,,,1783,63 млн,151 тыс,35 тыс,35 млн,89 тыс,43.38,,,приключения,RUONLY
КОНЧИТСЯ ЛЕТО,VLG,27.02.25,511,58 млн,124 тыс,113 тыс,,,511,19 млн,36 тыс,37 тыс,"9,3 млн",18 тыс,50.49,580 тыс,ЧТ - ВС,"драма, триллер",RUONLY
