st_id,st_name_ru,st_name_en,st_distrib,st_distrib_idx,st_date_start,st_date_real,st_prev_start,st_prev_end,st_prev_adm,st_prev_box,st_thursday_box,st_thursday_adm,st_thursday_copy,st_1wd_box,st_1wd_adm,st_1wd_copy,st_2wd_box,st_2wd_adm,st_total_box,st_total_adm,st_total_copy,st_genre,st_genre_idx,st_country,st_country_idx,st_rel_id,st_thu_ratio,st_2wd_change,st_1wd_avg,st_total_avg
29198208,СИНДРОМ,,"<a href=""/distributor/show/id/CP"" target=""_blank"">CP</a>",",8,",2023-11-09,2023-11-09,&nbsp;,946684800,0,&nbsp;,,0,0,25 млн,70 тыс,1331,11 млн,30 тыс,48 млн,142 тыс,1331,"драма, триллер",",10,18,",RUONLY,",6,",48469,&nbsp;,57.39,19 тыс,36 тыс
29198435,ГОД РОЖДЕНИЯ,,"<a href=""/distributor/show/id/VLG"" target=""_blank"">VLG</a>",",26,",2023-11-09,2023-11-09,&nbsp;,946684800,0,&nbsp;,,0,0,"2,5 млн","6,6 тыс",393,745 тыс,"2,0 тыс","4,9 млн",14 тыс,393,мелодрама,",16,",RUONLY,",6,",49234,&nbsp;,70.33,"6,4 тыс",12 тыс
29198513,ЧУВСТВА АННЫ,,"<a href=""/distributor/show/id/PIFD"" target=""_blank"">PIFD</a>",",405,",2023-11-09,2023-11-09,&nbsp;,946684800,0,&nbsp;,,0,0,"2,4 млн","4,9 тыс",157,"1,3 млн","2,6 тыс","6,7 млн",15 тыс,157,"фантастика, драма",",3,10,",RUONLY,",6,",49490,&nbsp;,46.43,15 тыс,43 тыс
29198656,ПИКОВАЯ ДАМА / The Queen of Spades,The Queen of Spades,"<a href=""/distributor/show/id/KAP"" target=""_blank"">KAP</a>",",588,",2023-11-09,2023-11-12,&nbsp;,946684800,0,&nbsp;,,0,0,513 тыс,864 ,3,"1,0 млн","1,9 тыс","3,1 млн","5,3 тыс",60,музыка,",26,",RUONLY,",6,",49996,&nbsp;,-101.62,171 тыс,51 тыс
29197995,ЧЕЛОВЕК НИОТКУДА,,"<a href=""/distributor/show/id/NKI"" target=""_blank"">NKI</a>",",17,",2023-11-02,2023-11-02,&nbsp;,946684800,0,&nbsp;,,0,0,48 млн,149 тыс,1883,19 млн,61 тыс,101 млн,325 тыс,1883,"фантастика, приключения, триллер",",3,6,18,",RUONLY,",6,",47662,&nbsp;,60.26,25 тыс,53 тыс
29198007,МУЛЬТ В КИНО. ВЫПУСК № 162. СМЕЙТЕСЬ НА ЗДОРОВЬЕ!,,"<a href=""/distributor/show/id/MVK"" target=""_blank"">MVK</a>",",214,",2023-11-02,2023-11-04,&nbsp;,946684800,0,&nbsp;,,0,0,"1,4 млн","9,4 тыс",431,"1,0 млн","7,2 тыс","4,2 млн",29 тыс,603,анимация,",7,",RUONLY,",6,",47715,&nbsp;,28,"3,2 тыс","6,9 тыс"
29198252,ДОБРО ПОЖАЛОВАТЬ В СЕМЬЮ. ПОВАР ИЗ НЕАПОЛЯ,,"<a href=""/distributor/show/id/AK"" target=""_blank"">AK</a>",",587,",2023-11-02,2023-11-02,&nbsp;,946684800,0,&nbsp;,,0,0,15 млн,44 тыс,1386,"3,9 млн",12 тыс,25 млн,79 тыс,1386,"комедия, криминал",",4,9,",RUONLY,",6,",48635,&nbsp;,73.5,11 тыс,18 тыс
29198395,КАТЯ-КАТЯ,,"<a href=""/distributor/show/id/SBF"" target=""_blank"">SBF</a>",",500,",2023-11-02,2023-11-02,&nbsp;,946684800,0,&nbsp;,,0,0,600 тыс,"3,1 тыс",279,337 тыс,"1,6 тыс","2,6 млн",15 тыс,279,"драма, семейный, военный",",10,11,19,",RUONLY,",6,",49108,&nbsp;,43.84,"2,2 тыс","9,5 тыс"
29198461,ПЯТЬ ПРОЦЕНТОВ,,"<a href=""/distributor/show/id/MVK"" target=""_blank"">MVK</a>",",214,",2023-11-02,2023-11-02,ПН - СР,СР,1523,478 тыс,,0,0,"1,4 млн","4,0 тыс",169,304 тыс,"1,2 тыс","2,6 млн","8,2 тыс",191,комедия,",4,",RUONLY,",6,",49323,&nbsp;,78.17,"8,3 тыс",13 тыс
29198499,"ПРИВЕТ, МАМА",,RFLF,",182,",2023-11-02,2023-11-02,&nbsp;,946684800,0,&nbsp;,,0,0,303 тыс,866 ,59,&nbsp;,&nbsp;,898 тыс,"2,4 тыс",59,"комедия, драма",",4,10,",RUONLY,",6,",49464,&nbsp;,&nbsp;,"5,1 тыс",15 тыс
